==================================================
Task Execution Time : 2026-07-09 14:42:05
Task Identifier     : manual_putney_wandsworth_current_0
Requested Target    : current
Actual Capture Date : 2020-04-11
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-0.235), np.float64(51.45), np.float64(-0.17), np.float64(51.4825))
Total Patches Found : 269
--------------------------------------------------
[Original Log Entries]
T218 ges_65466_84278_18.jpg: 2020-04-11 Ok
T219 ges_65466_84279_18.jpg: 2020-04-11 Ok
T220 ges_65466_84280_18.jpg: 2020-04-11 Ok
T221 ges_65467_84268_18.jpg: 2020-04-11 Ok
T222 ges_65467_84269_18.jpg: 2020-04-11 Ok
T223 ges_65467_84270_18.jpg: 2020-04-11 Ok
T224 ges_65467_84271_18.jpg: 2020-04-11 Ok
T225 ges_65467_84272_18.jpg: 2020-04-11 Ok
T227 ges_65467_84274_18.jpg: 2020-04-11 Ok
T229 ges_65467_84276_18.jpg: 2020-04-11 Ok
T228 ges_65467_84275_18.jpg: 2020-04-11 Ok
T230 ges_65467_84277_18.jpg: 2020-04-11 Ok
T231 ges_65467_84278_18.jpg: 2020-04-11 Ok
T232 ges_65467_84279_18.jpg: 2020-04-11 Ok
T233 ges_65467_84280_18.jpg: 2020-04-11 Ok
T247 ges_65469_84268_18.jpg: 2020-04-11 Ok
T248 ges_65469_84269_18.jpg: 2020-04-11 Ok
T249 ges_65469_84270_18.jpg: 2020-04-11 Ok
T251 ges_65469_84272_18.jpg: 2020-04-11 Ok
T250 ges_65469_84271_18.jpg: 2020-04-11 Ok
T252 ges_65469_84273_18.jpg: 2020-04-11 Ok
T253 ges_65469_84274_18.jpg: 2020-04-11 Ok
T254 ges_65469_84275_18.jpg: 2020-04-11 Ok
T255 ges_65469_84276_18.jpg: 2020-04-11 Ok
T256 ges_65469_84277_18.jpg: 2020-04-11 Ok
T257 ges_65469_84278_18.jpg: 2020-04-11 Ok
T258 ges_65469_84279_18.jpg: 2020-04-11 Ok
T259 ges_65469_84280_18.jpg: 2020-04-11 Ok
T260 ges_65470_84268_18.jpg: 2020-04-11 Ok
T261 ges_65470_84269_18.jpg: 2020-04-11 Ok
T262 ges_65470_84270_18.jpg: 2020-04-11 Ok
T263 ges_65470_84271_18.jpg: 2020-04-11 Ok
T264 ges_65470_84272_18.jpg: 2020-04-11 Ok
T265 ges_65470_84273_18.jpg: 2020-04-11 Ok
T266 ges_65470_84274_18.jpg: 2020-04-11 Ok
T267 ges_65470_84275_18.jpg: 2020-04-11 Ok
T268 ges_65470_84276_18.jpg: 2020-04-11 Ok
T269 ges_65470_84277_18.jpg: 2020-04-11 Ok
T270 ges_65470_84278_18.jpg: 2020-04-11 Ok
T271 ges_65470_84279_18.jpg: 2020-04-11 Ok
T273 ges_65471_84268_18.jpg: 2020-04-11 Ok
T274 ges_65471_84269_18.jpg: 2020-04-11 Ok
T276 ges_65471_84271_18.jpg: 2020-04-11 Ok
T275 ges_65471_84270_18.jpg: 2020-04-11 Ok
T277 ges_65471_84272_18.jpg: 2020-04-11 Ok
T278 ges_65471_84273_18.jpg: 2020-04-11 Ok
T279 ges_65471_84274_18.jpg: 2020-04-11 Ok
T280 ges_65471_84275_18.jpg: 2020-04-11 Ok
T281 ges_65471_84276_18.jpg: 2020-04-11 Ok
T282 ges_65471_84277_18.jpg: 2020-04-11 Ok
T284 ges_65471_84279_18.jpg: 2020-04-11 Ok
T283 ges_65471_84278_18.jpg: 2020-04-11 Ok
T285 ges_65471_84280_18.jpg: 2020-04-11 Ok
T0 ges_65450_84268_18.jpg: 2020-04-11 Ok
T1 ges_65450_84269_18.jpg: 2020-04-11 Ok
T2 ges_65450_84270_18.jpg: 2020-04-11 Ok
T3 ges_65450_84271_18.jpg: 2020-04-11 Ok
T4 ges_65450_84272_18.jpg: 2020-04-11 Ok
T5 ges_65450_84273_18.jpg: 2020-04-11 Ok
T6 ges_65450_84274_18.jpg: 2020-04-11 Ok
T7 ges_65450_84275_18.jpg: 2020-04-11 Ok
T9 ges_65450_84277_18.jpg: 2020-04-11 Ok
T8 ges_65450_84276_18.jpg: 2020-04-11 Ok
T11 ges_65450_84279_18.jpg: 2020-04-11 Ok
T10 ges_65450_84278_18.jpg: 2020-04-11 Ok
T26 ges_65452_84268_18.jpg: 2020-04-11 Ok
T12 ges_65450_84280_18.jpg: 2020-04-11 Ok
T28 ges_65452_84270_18.jpg: 2020-04-11 Ok
T27 ges_65452_84269_18.jpg: 2020-04-11 Ok
T29 ges_65452_84271_18.jpg: 2020-04-11 Ok
T30 ges_65452_84272_18.jpg: 2020-04-11 Ok
T31 ges_65452_84273_18.jpg: 2020-04-11 Ok
T32 ges_65452_84274_18.jpg: 2020-04-11 Ok
T34 ges_65452_84276_18.jpg: 2020-04-11 Ok
T35 ges_65452_84277_18.jpg: 2020-04-11 Ok
T33 ges_65452_84275_18.jpg: 2020-04-11 Ok
T36 ges_65452_84278_18.jpg: 2020-04-11 Ok
T37 ges_65452_84279_18.jpg: 2020-04-11 Ok
T38 ges_65452_84280_18.jpg: 2020-04-11 Ok
T78 ges_65456_84268_18.jpg: 2020-04-11 Ok
T80 ges_65456_84270_18.jpg: 2020-04-11 Ok
T81 ges_65456_84271_18.jpg: 2020-04-11 Ok
T79 ges_65456_84269_18.jpg: 2020-04-11 Ok
T82 ges_65456_84272_18.jpg: 2020-04-11 Ok
T83 ges_65456_84273_18.jpg: 2020-04-11 Ok
T85 ges_65456_84275_18.jpg: 2020-04-11 Ok
T84 ges_65456_84274_18.jpg: 2020-04-11 Ok
T86 ges_65456_84276_18.jpg: 2020-04-11 Ok
T87 ges_65456_84277_18.jpg: 2020-04-11 Ok
T88 ges_65456_84278_18.jpg: 2020-04-11 Ok
T89 ges_65456_84279_18.jpg: 2020-04-11 Ok
T90 ges_65456_84280_18.jpg: 2020-04-11 Ok
T130 ges_65460_84268_18.jpg: 2020-04-11 Ok
T131 ges_65460_84269_18.jpg: 2020-04-11 Ok
T132 ges_65460_84270_18.jpg: 2020-04-11 Ok
T133 ges_65460_84271_18.jpg: 2020-04-11 Ok
T134 ges_65460_84272_18.jpg: 2020-04-11 Ok
T135 ges_65460_84273_18.jpg: 2020-04-11 Ok
T136 ges_65460_84274_18.jpg: 2020-04-11 Ok
T182 ges_65464_84268_18.jpg: 2020-04-11 Ok
T183 ges_65464_84269_18.jpg: 2020-04-11 Ok
T184 ges_65464_84270_18.jpg: 2020-04-11 Ok
T185 ges_65464_84271_18.jpg: 2020-04-11 Ok
T187 ges_65464_84273_18.jpg: 2020-04-11 Ok
T188 ges_65464_84274_18.jpg: 2020-04-11 Ok
T189 ges_65464_84275_18.jpg: 2020-04-11 Ok
T186 ges_65464_84272_18.jpg: 2020-04-11 Ok
T190 ges_65464_84276_18.jpg: 2020-04-11 Ok
T191 ges_65464_84277_18.jpg: 2020-04-11 Ok
T192 ges_65464_84278_18.jpg: 2020-04-11 Ok
T193 ges_65464_84279_18.jpg: 2020-04-11 Ok
T194 ges_65464_84280_18.jpg: 2020-04-11 Ok
T234 ges_65468_84268_18.jpg: 2020-04-11 Ok
T235 ges_65468_84269_18.jpg: 2020-04-11 Ok
T236 ges_65468_84270_18.jpg: 2020-04-11 Ok
T237 ges_65468_84271_18.jpg: 2020-04-11 Ok
T238 ges_65468_84272_18.jpg: 2020-04-11 Ok
T241 ges_65468_84275_18.jpg: 2020-04-11 Ok
T242 ges_65468_84276_18.jpg: 2020-04-11 Ok
